Country Name,Country Code,Per_Agiricutural
以色列,ISR,0.044414860041545684
意大利,ITA,0.11955045066808094
牙买加,JAM,0.042697575916289976
约旦,JOR,0.027115884132770638
日本,JPN,0.03343484032169907
哈萨克斯坦,KAZ,1.7624113059682427
肯尼亚,KEN,0.13432682689695535
吉尔吉斯斯坦,KGZ,0.23425540116375118
柬埔寨,KHM,0.26550765587832204
基里巴斯,KIR,0.01943068104537064
圣基茨和尼维斯,KNA,0.10112859512155657
大韩民国,KOR,0.03041119978095864
科威特,KWT,0.00334237557338453
拉丁美洲与加勒比海地区（不包括高收入）,LAC,0.2576482138710981
老挝,LAO,0.24476499593541765
黎巴嫩,LBN,0.02402911790838255
利比里亚,LBR,0.12445718000938905
利比亚,LBY,0.27687838020338945
圣卢西亚,LCA,0.017232267996231877
拉丁美洲与加勒比海地区,LCN,0.24387102728977117
最不发达国家：联合国分类,LDC,0.2055738234755448
低收入国家,LIC,0.24355691717767036
列支敦士登,LIE,0.09167685298366485
斯里兰卡,LKA,0.06373018873548324
中低等收入国家,LMC,0.1450839898873105
中低收入国家,LMY,0.17778079537714409
莱索托,LSO,0.20362116502800562
後期人口紅利,LTE,0.18409014770995027
立陶宛,LTU,0.8014685747043259
卢森堡,LUX,0.12220067738034887
拉脱维亚,LVA,0.6719683847955608
摩洛哥,MAR,0.24207402357109695
摩尔多瓦,MDA,0.6352555644329645
马达加斯加,MDG,0.1418329737079489
马尔代夫,MDV,0.01066360429825281
中东与北非地区,MEA,0.1345910781340092
墨西哥,MEX,0.19158128136196795
马绍尔群岛,MHL,0.035485530774826565
中等收入国家,MIC,0.17336886962297862
北马其顿,MKD,0.20145946187939293
马里,MLI,0.4422288099984318
马耳他,MLT,0.021905487951981627
缅甸,MMR,0.2136526345705773
中东与北非地区（不包括高收入）,MNA,0.14528671653794467
黑山,MNE,0.278996708483919
蒙古,MNG,0.46698914361818505
北马里亚纳群岛,MNP,0.01852846899260714
莫桑比克,MOZ,0.24010300716480124
毛里塔尼亚,MRT,0.12878484345486807
毛里求斯,MUS,0.06397952655150352
马拉维,MWI,0.2544772696432208
马来西亚,MYS,0.030285704481008032
北美,NAC,0.5690315035690046
纳米比亚,NAM,0.37755848970940736
新喀里多尼亚,NCL,0.027227227227227226
尼日尔,NER,0.9171511826543023
尼日利亚,NGA,0.20929408912889247
尼加拉瓜,NIC,0.26287512933422025
荷兰,NLD,0.061962615137804856
挪威,NOR,0.16886018556621749
尼泊尔,NPL,0.08070126586598918
新西兰,NZL,0.13063212664673973
经合组织成员,OED,0.28674385829023885
阿曼,OMN,0.015873357689322815
其他小国,OSS,0.16356460838690243
巴基斯坦,PAK,0.16417569771180748
巴拿马,PAN,0.15617300506685855
秘鲁,PER,0.14089480662750362
菲律宾,PHL,0.0573999436431306
帕劳,PLW,0.017042549565414986
巴布亚新几内亚,PNG,0.04103679742267026
波兰,POL,0.29156728713821245
預人口紅利,PRE,0.24603376397072727
波多黎各,PRI,0.015720148784005784
朝鲜民主主义人民共和国,PRK,0.09776429354706781
葡萄牙,PRT,0.10887232310076363
巴拉圭,PRY,0.727789633512769
约旦河西岸和加沙,PSE,0.015335225636280076
太平洋岛国,PSS,0.1130995388286548
人口紅利之後,PST,0.33314502939013185
法属波利尼西亚,PYF,0.009382658595078232
卡塔尔,QAT,0.007396318217298766
罗马尼亚,ROU,0.4517241207295685
俄罗斯联邦,RUS,0.8515887507540455
卢旺达,RWA,0.11195160477712773
南亚,SAS,0.1253773412215856
沙特阿拉伯,SAU,0.11596753317510208
塞内加尔,SEN,0.29972843814744793
新加坡,SGP,0.00012606535070198703
所罗门群岛,SLB,0.0359943242633951
塞拉利昂,SLE,0.25180101651044806
萨尔瓦多,SLV,0.11215029282981559
圣马力诺,SMR,0.05966336038473099
索马里,SOM,0.09133264795100186
塞尔维亚,SRB,0.3699193023118596
撒哈拉以南非洲地区（不包括高收入）,SSA,0.23719312860124045
撒哈拉以南非洲地区,SSF,0.23717020596522767
小国,SST,0.14875333567815027
圣多美和普林西比,STP,0.03326458652118954
苏里南,SUR,0.11748162768084038
斯洛伐克共和国,SVK,0.25818762672894824
斯洛文尼亚,SVN,0.09010618559267553
瑞典,SWE,0.2803331923670038
斯威士兰,SWZ,0.1643437846589303
塞舌尔,SYC,0.010025621031525008
阿拉伯叙利亚共和国,SYR,0.275124399072721
特克斯科斯群岛,TCA,0.030620368669238777
乍得,TCD,0.38057426021120994
东亚与太平洋地区 (IBRD与IDA),TEA,0.09851760714562298
欧洲与中亚地区 (IBRD与IDA),TEC,0.573021410613121
多哥,TGO,0.39121279953798505
泰国,THA,0.24668161499533073
塔吉克斯坦,TJK,0.09922420725252036
土库曼斯坦,TKM,0.38134844416714775
拉丁美洲与加勒比海地区 (IBRD与IDA),TLA,0.24523420305247828
东帝汶,TLS,0.1412177560145525
中东与北非地区 (IBRD与IDA),TMN,0.14682590104763166
汤加,TON,0.19845207382417146
南亚 (IBRD与IDA),TSA,0.1253773412215856
撒哈拉以南非洲地区 (IBRD与IDA),TSS,0.23717020596522767
特立尼达和多巴哥,TTO,0.01882326012841981
突尼斯,TUN,0.26543817279244625
土耳其,TUR,0.2956572561458107
坦桑尼亚,TZA,0.289035565465036
乌干达,UGA,0.20815239493669763
乌克兰,UKR,0.7370269871368532
中高等收入国家,UMC,0.2080965674766134
乌拉圭,URY,0.6981453436495785
美国,USA,0.5098695784352814
乌兹别克斯坦,UZB,0.14606615690558217
圣文森特和格林纳丁斯,VCT,0.018474043968224645
委内瑞拉玻利瓦尔共和国,VEN,0.09142072090020437
英屬維爾京群島,VGB,0.03597639948193985
美属维京群岛,VIR,0.009345707049466828
越南,VNM,0.07556129140967127
瓦努阿图,VUT,0.08466826971924002
世界,WLD,0.19604100325512158
萨摩亚,WSM,0.1677432690817012
也门共和国,YEM,0.05575504816398324
南非,ZAF,0.24470406457297636
赞比亚,ZMB,0.262700388547701
津巴布韦,ZWE,0.32572473948419006
